Year,Country,Average_Temperature,CO2_emissions
2000,Afghanistan,16.24791812144609,904.9032363998494
2000,Albania,11.968124536243032,400.36056475019376
2000,Algeria,10.061366351859537,1645.3166407193153
2000,American Samoa,13.492670535362617,789.0295243423733
2000,Andorra,10.281678023186387,855.5863549636867
2000,Anguilla,26.867467874430695,482.9912398255673
2000,Antarctica (the territory South of 60 deg S),20.68549270770461,714.1022518914237
2000,Antigua and Barbuda,12.290429559011264,321.1354833563896
2000,Argentina,16.80056069519538,343.98556326178027
2000,Armenia,15.44157781118783,349.48422104390045
2000,Australia,17.15336313279558,1246.4271587719618
2000,Austria,16.38539539711364,352.4782717768196
2000,Azerbaijan,16.83637597521449,682.6493574511563
2000,Bahrain,14.965459216119386,1095.6374710447278
2000,Bangladesh,16.874594632052947,731.3421155400215
2000,Barbados,16.13630198686215,684.9422455334266
2000,Belize,15.51726066565437,816.2812805027435
2000,Benin,10.801725040099702,436.54268010443104
2000,Bermuda,16.998411393715006,352.71148416868255
2000,Bhutan,15.492220819944123,1325.3968832198857
2000,Bolivia,17.1454515342415,1564.5032544756043
2000,Bosnia and Herzegovina,13.92672200359621,1527.0733268641636
2000,Botswana,15.644631395708842,1949.2555139556714
2000,Bouvet Island (Bouvetoya),16.796383369244545,839.5175479611215
2000,British Indian Ocean Territory (Chagos Archipelago),14.89574312670864,474.31808727651696
2000,British Virgin Islands,17.426150066274083,394.1896499942651
2000,Brunei Darussalam,12.530856769705816,1352.8931398058057
2000,Bulgaria,15.256699957528838,1022.6844828594715
2000,Burkina Faso,14.709958845340367,1660.3889091000644
2000,Cambodia,10.740123309824517,849.7060777517763
2000,Cameroon,10.475711409217666,320.838342289769
2000,Canada,8.704836736381356,860.505355209792
2000,Cape Verde,16.844609623025438,2573.4959701355738
2000,Cayman Islands,14.045204281308656,1244.6669108559568
2000,Central African Republic,19.816565416170217,410.9415473842474
2000,Chad,12.374588387394205,1242.8868000166422
2000,Chile,18.340526985787154,828.5449397643455
2000,China,12.463482839389778,1692.2942564313498
2000,Cocos (Keeling) Islands,15.007183748039608,733.5193646103842
2000,Colombia,7.647853388986615,699.304154098468
2000,Comoros,20.10443426611153,1503.3968024855553
2000,Congo,15.477527296319877,1615.3888479863242
2000,Cook Islands,16.72259415191579,1134.4773708489029
2000,Costa Rica,14.235301252651313,1654.6259943923494
2000,Cote d'Ivoire,8.62436687540011,710.8319596636659
2000,Cuba,12.149004529112725,332.18688635760856
2000,Czech Republic,15.338887177339307,868.1078539627714
2000,Denmark,11.438264010978365,755.4503287132178
2000,Djibouti,10.63513466886064,769.2479126724326
2000,Dominica,15.70679473856505,853.9569949972182
2000,Ecuador,15.295344548792219,2142.49402792158
2000,Egypt,17.523854040934403,868.0920609443926
2000,El Salvador,13.541871516255815,450.4265471957097
2000,Equatorial Guinea,20.602805218613934,1718.8572866367188
2000,Eritrea,12.48081538279055,929.3561264107221
2000,Estonia,17.833840856993348,1131.470232638824
2000,Ethiopia,17.12078324092719,458.6236596225761
2000,Falkland Islands (Malvinas),17.45583888844768,352.37686514900463
2000,Faroe Islands,26.032832677645533,418.6874652894648
2000,Fiji,13.108928360162068,1158.0675657460324
2000,Finland,6.289754831311746,778.948305000837
2000,France,10.01063906489007,398.909259734026
2000,French Guiana,21.61593265929615,900.1474333871352
2000,French Polynesia,17.290252500067012,666.2813620124383
2000,French Southern Territories,17.785332723143753,1255.0460378665557
2000,Gabon,14.707880974092703,1177.7996860993367
2000,Georgia,14.074841955572898,1313.4561480855855
2000,Germany,8.451524239094107,447.2187945644478
2000,Ghana,18.75463650859238,380.8259198306574
2000,Gibraltar,7.894868492712193,447.0534286965758
2000,Greece,17.616868169781682,1192.9377778374392
2000,Grenada,13.40283841931571,933.4744336337272
2000,Guadeloupe,21.447847196386107,400.2298148569323
2000,Guam,18.508525370498653,894.086827156736
2000,Guatemala,16.316106565954367,492.94253004285815
2000,Guernsey,12.598876413200522,927.5745331344817
2000,Guinea,20.309864341047877,798.6049664389458
2000,Guyana,16.592529334496287,778.931552207804
2000,Haiti,17.671142085578616,410.1039605665296
2000,Heard Island and McDonald Islands,16.619832774199466,356.76394418256183
2000,Holy See (Vatican City State),14.091570828685704,399.9249157621798
2000,Honduras,8.968697893593983,2061.5087649700986
2000,Hungary,17.79853108626729,724.1400718036836
2000,Iceland,3.9401209760254634,352.7607490192241
2000,India,12.159327628967654,1202.080399693341
2000,Indonesia,17.935029230746586,766.563653734667
2000,Iran,14.663267121338485,1617.686989867819
2000,Iraq,17.725807309120253,1171.4590306411815
2000,Israel,14.581926491109948,1213.9557303324461
2000,Italy,10.83206430149729,1082.4752770044593
2000,Japan,10.05652917775201,865.8531606562277
2000,Jersey,13.20710620455004,830.0629791021053
2000,Jordan,11.770182774088882,838.5987139784102
2000,Kenya,14.97430417807518,1065.8422545277313
2000,Kiribati,13.915838536505502,459.1113777053452
2000,Korea,13.686578913941194,1590.228834492501
2000,Kuwait,19.14608364354587,2019.0529145814753
2000,Lao People's Democratic Republic,2.4999475266049593,290.62650172200404
2000,Latvia,14.022155693546777,678.8885918901603
2000,Lebanon,16.294557040896436,902.3035112672844
2000,Lesotho,17.540718440473754,787.6498353671831
2000,Liberia,20.74982284641657,440.3153319701214
2000,Libyan Arab Jamahiriya,15.145115089210194,1474.4812981305595
2000,Liechtenstein,11.386909154023352,1090.5375307481631
2000,Lithuania,19.31477524985346,461.46752929091093
2000,Madagascar,19.236462575778894,417.0988992875155
2000,Malawi,19.04459549833367,476.3975158434872
2000,Maldives,12.82441479725782,385.3876840008008
2000,Mali,12.338523742109043,788.2210288597071
2000,Malta,18.849216103155538,872.1162487464592
2000,Marshall Islands,11.704238737786156,1204.823112472113
2000,Martinique,8.127743864018722,435.8161228646337
2000,Mauritius,24.519341592728132,480.2790635480747
2000,Mayotte,8.768176221589165,424.1381041119189
2000,Mexico,14.169422050816303,343.4410905931027
2000,Micronesia,17.028550356141935,387.5025902955229
2000,Moldova,17.31251768409215,2100.879828992443
2000,Monaco,17.551186142351078,876.7539953506941
2000,Mongolia,13.282668688194564,829.6155962238095
2000,Montenegro,21.444981079416294,442.17769824643074
2000,Montserrat,19.355231114092803,421.8962721292279
2000,Morocco,14.337317639937996,472.72511584199515
2000,Mozambique,17.46927432896699,417.39398553486546
2000,Myanmar,19.182000802923863,464.616498594038
2000,Namibia,12.577378838215505,829.5207705638786
2000,Nauru,11.332167785908927,891.3365347840522
2000,Nepal,11.63718129767303,908.8114586932845
2000,Netherlands,12.397555710208328,411.10187409943535
2000,New Caledonia,13.100418742273453,432.003776221565
2000,New Zealand,21.82897509712596,746.4416847893682
2000,Nicaragua,16.687609030520196,1339.6951938609375
2000,Niger,11.29217091857414,787.3334809282696
2000,Niue,14.449948752395054,860.792598939916
2000,Norfolk Island,16.299090208507554,1306.5148844559167
2000,North Macedonia,12.653602075709006,307.4430705784682
2000,Northern Mariana Islands,19.969840547321073,749.7317084197185
2000,Norway,14.333747373060294,1729.4117494675297
2000,Pakistan,8.522554654139114,418.0880018236101
2000,Panama,18.777944392120325,1274.2344106416692
2000,Papua New Guinea,9.763890043930283,458.71370920500385
2000,Peru,15.300098032303085,820.7175299797168
2000,Philippines,13.616145929360618,1717.639487924462
2000,Pitcairn Islands,13.701533879282266,635.047301354819
2000,Puerto Rico,15.242232534464472,1096.2471159389966
2000,Qatar,13.872139745826791,1050.780235484136
2000,Reunion,12.397670063734623,1605.0514686242868
2000,Romania,17.95250358697712,1216.4353667032215
2000,Russian Federation,21.960185128275334,394.7325460052561
2000,Rwanda,15.788180996646265,373.3412975290676
2000,Saint Barthelemy,17.90156450409497,865.4865897140246
2000,Saint Helena,14.013987776294478,830.3814374345691
2000,Saint Kitts and Nevis,13.995721741208518,838.4349583406722
2000,Saint Lucia,13.66048963589845,786.4722649751791
2000,Saint Pierre and Miquelon,17.22068049448146,429.2817841670089
2000,Saint Vincent and the Grenadines,20.341389170871647,470.3963650713312
2000,Samoa,17.346468857408695,958.1172100472413
2000,San Marino,13.506692386059086,379.45259025995574
2000,Sao Tome and Principe,28.944171715813077,421.8310087938389
2000,Senegal,13.36412194571655,642.3287276202225
2000,Serbia,14.320324679818174,730.1416793607672
2000,Seychelles,10.000871067951117,855.9341576122936
2000,Sierra Leone,16.190467412475574,397.0778425405073
2000,Singapore,19.315964735236008,670.6335095852418
2000,Slovakia (Slovak Republic),4.298199398865226,423.39375127971937
2000,Slovenia,11.940711681997078,1960.5896468351614
